Path,Name,Clock,Cores,Model,Threads Per Core,Socket,Architecture
Parkes --> blh0,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,3200,12,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,2,0,x86_64
Parkes --> blh0,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,3200,12,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,2,1,x86_64
Parkes --> bls0,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,3000,16,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,2,0,x86_64
Parkes --> bls0,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,3000,16,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,2,1,x86_64
Parkes --> bls1,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,3000,16,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,2,0,x86_64
Parkes --> bls1,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,3000,16,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,2,1,x86_64
Parkes --> bls2,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,3000,16,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,2,0,x86_64
Parkes --> bls2,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,3000,16,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,2,1,x86_64
Parkes --> bls3,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,3000,8,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,1,0,x86_64
Parkes --> bls3,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,3000,8,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,1,1,x86_64
