Name,Firmware,Stroke,Path,Serial,Type,Diskid,Size
Disk: 15,FS2A,1,Gbt --> bls1,46A8K1LMFFQCTOSHIBA MD04ACA600                      FS2A,disk,15,5.458 TB [0x2baa0f4b0 Sectors]
Disk: 16,FS2A,1,Gbt --> bls1,46A9K4XBFFQCTOSHIBA MD04ACA600                      FS2A,disk,16,5.458 TB [0x2baa0f4b0 Sectors]
Disk: 14,FS2A,1,Gbt --> bls1,46A5K2WRFFQCTOSHIBA MD04ACA600                      FS2A,disk,14,5.458 TB [0x2baa0f4b0 Sectors]
Disk: 19,FS2A,1,Gbt --> bls1,46A5K2X5FFQCTOSHIBA MD04ACA600                      FS2A,disk,19,5.458 TB [0x2baa0f4b0 Sectors]
Disk: 22,FS2A,1,Gbt --> bls1,46A7K7RMFFQCTOSHIBA MD04ACA600                      FS2A,disk,22,5.458 TB [0x2baa0f4b0 Sectors]
Disk: 20,FS2A,1,Gbt --> bls1,46A7K7RKFFQCTOSHIBA MD04ACA600                      FS2A,disk,20,5.458 TB [0x2baa0f4b0 Sectors]
Disk: 23,FS2A,1,Gbt --> bls1,46A3K5SRFFQCTOSHIBA MD04ACA600                      FS2A,disk,23,5.458 TB [0x2baa0f4b0 Sectors]
Disk: 27,FS2A,1,Gbt --> bls1,46A3K5TSFFQCTOSHIBA MD04ACA600                      FS2A,disk,27,5.458 TB [0x2baa0f4b0 Sectors]
Disk: 17,FS2A,1,Gbt --> bls1,46A9K4XAFFQCTOSHIBA MD04ACA600                      FS2A,disk,17,5.458 TB [0x2baa0f4b0 Sectors]
Disk: 29,FS2A,1,Gbt --> bls1,46A5K2WTFFQCTOSHIBA MD04ACA600                      FS2A,disk,29,5.458 TB [0x2baa0f4b0 Sectors]
Disk: 18,FS2A,1,Gbt --> bls1,46A8K1L2FFQCTOSHIBA MD04ACA600                      FS2A,disk,18,5.458 TB [0x2baa0f4b0 Sectors]
Disk: 25,FS2A,1,Gbt --> bls1,46A3K5SNFFQCTOSHIBA MD04ACA600                      FS2A,disk,25,5.458 TB [0x2baa0f4b0 Sectors]
Disk: 38,FS2A,1,Gbt --> bls1,46A3K5SOFFQCTOSHIBA MD04ACA600                      FS2A,disk,38,5.458 TB [0x2baa0f4b0 Sectors]
Disk: 40,FS2A,1,Gbt --> bls1,46ABK3BOFFQCTOSHIBA MD04ACA600                      FS2A,disk,40,5.458 TB [0x2baa0f4b0 Sectors]
Disk: 39,FS2A,1,Gbt --> bls1,46A7K7RHFFQCTOSHIBA MD04ACA600                      FS2A,disk,39,5.458 TB [0x2baa0f4b0 Sectors]
Disk: 44,FS2A,1,Gbt --> bls1,46A3K5SSFFQCTOSHIBA MD04ACA600                      FS2A,disk,44,5.458 TB [0x2baa0f4b0 Sectors]
Disk: 41,FS2A,1,Gbt --> bls1,46AAK657FFQCTOSHIBA MD04ACA600                      FS2A,disk,41,5.458 TB [0x2baa0f4b0 Sectors]
Disk: 45,FS2A,1,Gbt --> bls1,46ACK1J7FFQCTOSHIBA MD04ACA600                      FS2A,disk,45,5.458 TB [0x2baa0f4b0 Sectors]
Disk: 42,FS2A,1,Gbt --> bls1,46AAK60UFFQCTOSHIBA MD04ACA600                      FS2A,disk,42,5.458 TB [0x2baa0f4b0 Sectors]
Disk: 46,FS2A,1,Gbt --> bls1,46A3K5TLFFQCTOSHIBA MD04ACA600                      FS2A,disk,46,5.458 TB [0x2baa0f4b0 Sectors]
Disk: 48,FS2A,1,Gbt --> bls1,46ACK1JKFFQCTOSHIBA MD04ACA600                      FS2A,disk,48,5.458 TB [0x2baa0f4b0 Sectors]
Disk: 43,FS2A,1,Gbt --> bls1,46A2K8SIFFQCTOSHIBA MD04ACA600                      FS2A,disk,43,5.458 TB [0x2baa0f4b0 Sectors]
Disk: 33,FS2A,1,Gbt --> bls1,46BEK4J3FFQCTOSHIBA MD04ACA600                      FS2A,disk,33,5.458 TB [0x2baa0f4b0 Sectors]
Disk: 21,FS2A,1,Gbt --> bls1,46BAK69NFFQCTOSHIBA MD04ACA600                      FS2A,disk,21,5.458 TB [0x2baa0f4b0 Sectors]
Disk: 31,FS2A,1,Gbt --> bls1,46BBK3E7FFQCTOSHIBA MD04ACA600                      FS2A,disk,31,5.458 TB [0x2baa0f4b0 Sectors]
Disk: 36,FS2A,1,Gbt --> bls1,46BAK69MFFQCTOSHIBA MD04ACA600                      FS2A,disk,36,5.458 TB [0x2baa0f4b0 Sectors]
Disk: 30,FS2A,1,Gbt --> bls1,46BBK3E5FFQCTOSHIBA MD04ACA600                      FS2A,disk,30,5.458 TB [0x2baa0f4b0 Sectors]
Disk: 35,FS2A,1,Gbt --> bls1,46BAK69QFFQCTOSHIBA MD04ACA600                      FS2A,disk,35,5.458 TB [0x2baa0f4b0 Sectors]
Disk: 37,FS2A,1,Gbt --> bls1,46A9K4X7FFQCTOSHIBA MD04ACA600                      FS2A,disk,37,5.458 TB [0x2baa0f4b0 Sectors]
Disk: 28,FS2A,1,Gbt --> bls1,46A9K4X5FFQCTOSHIBA MD04ACA600                      FS2A,disk,28,5.458 TB [0x2baa0f4b0 Sectors]
Disk: 24,FS2A,1,Gbt --> bls1,46BAK69PFFQCTOSHIBA MD04ACA600                      FS2A,disk,24,5.458 TB [0x2baa0f4b0 Sectors]
