Name,PCIID,Vios Version,Memory,Path,Serial
GeForce GTX 1080,00000000:02:00.0,86.04.17.00.80,8119,Digilab --> blc00,[Not Supported]
GeForce GTX 1080,00000000:81:00.0,86.04.17.00.80,8119,Digilab --> blc00,[Not Supported]
TITAN Xp,00000000:02:00.0,86.02.3D.00.01,12196,Digilab --> blc02,0324517035065
TITAN V,00000000:81:00.0,88.00.41.00.03,12066,Digilab --> blc02,0320418070022
GeForce GTX 1080,0000:82:00.0,86.04.17.00.80,8114,Parkes --> blc00,[Not Supported]
GeForce GTX 1080,0000:82:00.0,86.04.17.00.80,8114,Parkes --> blc01,[Not Supported]
GeForce GTX 1080,0000:82:00.0,86.04.17.00.80,8114,Parkes --> blc02,[Not Supported]
GeForce GTX 1080,0000:82:00.0,86.04.17.00.80,8114,Parkes --> blc03,[Not Supported]
GeForce GTX 1080,0000:82:00.0,86.04.17.00.80,8114,Parkes --> blc04,[Not Supported]
GeForce GTX 1080,0000:82:00.0,86.04.17.00.80,8114,Parkes --> blc05,[Not Supported]
GeForce GTX 1080,0000:82:00.0,86.04.17.00.80,8114,Parkes --> blc06,[Not Supported]
GeForce GTX 1080,0000:82:00.0,86.04.17.00.80,8114,Parkes --> blc07,[Not Supported]
GeForce GTX 1080,0000:82:00.0,86.04.17.00.80,8114,Parkes --> blc10,[Not Supported]
GeForce GTX 1080,0000:82:00.0,86.04.17.40.38,8114,Parkes --> blc11,[Not Supported]
GeForce GTX 1080,0000:82:00.0,86.04.17.40.38,8114,Parkes --> blc12,[Not Supported]
GeForce GTX 1080,0000:82:00.0,86.04.17.00.80,8114,Parkes --> blc13,[Not Supported]
GeForce GTX 1080,0000:82:00.0,86.04.17.00.80,8114,Parkes --> blc14,[Not Supported]
GeForce GTX 1080,0000:82:00.0,86.04.17.40.38,8114,Parkes --> blc15,[Not Supported]
GeForce GTX 1080,0000:82:00.0,86.04.17.00.80,8114,Parkes --> blc16,[Not Supported]
GeForce GTX 1080,0000:82:00.0,86.04.17.40.38,8114,Parkes --> blc17,[Not Supported]
GeForce GTX 1080,0000:82:00.0,86.04.17.00.66,8114,Parkes --> blc20,[Not Supported]
GeForce GTX 1080,0000:82:00.0,86.04.17.00.66,8114,Parkes --> blc21,[Not Supported]
GeForce GTX 1080,0000:82:00.0,86.04.17.00.66,8114,Parkes --> blc22,[Not Supported]
GeForce GTX 1080,0000:82:00.0,86.04.17.00.80,8114,Parkes --> blc23,[Not Supported]
GeForce GTX 1080,0000:82:00.0,86.04.17.00.80,8114,Parkes --> blc24,[Not Supported]
GeForce GTX 1080,0000:82:00.0,86.04.17.40.38,8114,Parkes --> blc25,[Not Supported]
GeForce GTX 1080,0000:82:00.0,86.04.17.40.38,8114,Parkes --> blc26,[Not Supported]
GeForce GTX 1080,0000:82:00.0,86.04.17.00.80,8114,Parkes --> blc27,[Not Supported]
GeForce GTX TITAN X,0000:82:00.0,84.00.1F.00.90,12207,Parkes --> blc30,0422915027276
GeForce GTX 1080,0000:82:00.0,86.04.17.00.66,8114,Parkes --> blc31,[Not Supported]
GeForce GTX 1080,0000:82:00.0,86.04.17.00.66,8114,Parkes --> blc32,[Not Supported]
