Path,Total
Digilab --> blc00,65865884 kB
Digilab --> blc01,65860620 kB
Digilab --> blc02,396161920 kB
Digilab --> blh0,131922836 kB
Digilab --> bls0,65865876 kB
Parkes --> blc00,65858508 kB
Parkes --> blc01,65860632 kB
Parkes --> blc02,65858520 kB
Parkes --> blc03,65858520 kB
Parkes --> blc04,65858520 kB
Parkes --> blc05,65858520 kB
Parkes --> blc06,65858520 kB
Parkes --> blc07,65858520 kB
Parkes --> blc10,65858520 kB
Parkes --> blc11,65858508 kB
Parkes --> blc12,65858508 kB
Parkes --> blc13,65858520 kB
Parkes --> blc14,65858520 kB
Parkes --> blc15,65858520 kB
Parkes --> blc16,65858520 kB
Parkes --> blc17,65858520 kB
Parkes --> blc20,65860648 kB
Parkes --> blc21,65860648 kB
Parkes --> blc22,65860648 kB
Parkes --> blc23,65858520 kB
Parkes --> blc24,65858520 kB
Parkes --> blc25,65858520 kB
Parkes --> blc26,65858520 kB
Parkes --> blc27,65858268 kB
Parkes --> blc30,65865876 kB
Parkes --> blc31,65858632 kB
Parkes --> blc32,65860648 kB
Parkes --> blh0,131925920 kB
Parkes --> bls0,65858520 kB
Parkes --> bls1,65858516 kB
Parkes --> bls2,65858520 kB
Parkes --> bls3,65860648 kB
