Serial Number,Other,Name,Classification,Speed/Capacity,Path,Make,Model
MAC: 00:25:90:fb:92:08,ip: 10.16.98.99,eth0,"Hardware, NIC",1000,Gbt --> blh0, , 
MAC: 00:25:90:fb:92:09,ip: 10.0.1.1,eth1,"Hardware, NIC",10000,Gbt --> blh0, , 
MAC: 00:25:90:fb:92:0a, ,eth2,"Hardware, NIC",NA,Gbt --> blh0, , 
MAC: 00:25:90:fb:92:0b, ,eth3,"Hardware, NIC",NA,Gbt --> blh0, , 
 ,ip: 127.0.0.1,lo,"Hardware, NIC",NA,Gbt --> blh0, , 
MAC: 00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00,ip: 10.254.254.2,tun0,"Hardware, NIC",10,Gbt --> blh0, , 
Unknown,Socket: 0,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,"Hardware, CPU",Clock: 3200.0000,Gbt --> blh0,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz
Unknown,Socket: 1,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,"Hardware, CPU",Clock: 3200.0000,Gbt --> blh0,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz
 , ,Memory,"Hardware, Memory",131927624 kB,Gbt --> blh0, , 
 ,Bios version: 1.1,blh0,"System, HEAD", ,Gbt --> blh0,American Megatrends Inc., 
