Serial Number,Other,Name,Classification,Speed/Capacity,Path,Make,Model
MAC: 0c:c4:7a:8e:70:c8,ip: 10.0.1.94,eth0,"Hardware, NIC",1000,Gbt --> bls3, , 
MAC: 0c:c4:7a:8e:70:c9, ,eth1,"Hardware, NIC",NA,Gbt --> bls3, , 
MAC: 0c:c4:7a:8e:70:ca, ,eth2,"Hardware, NIC",NA,Gbt --> bls3, , 
MAC: 0c:c4:7a:8e:70:cb, ,eth3,"Hardware, NIC",NA,Gbt --> bls3, , 
MAC: 02:02:0a:11:02:6b,ip: 10.17.2.107,eth4,"Hardware, NIC",10000,Gbt --> bls3, , 
MAC: 02:02:0a:11:02:87,ip: 10.17.2.135,eth5,"Hardware, NIC",10000,Gbt --> bls3, , 
 ,ip: 127.0.0.1,lo,"Hardware, NIC",NA,Gbt --> bls3, , 
Unknown,Socket: 0,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,"Hardware, CPU",Clock: 3000.0000,Gbt --> bls3,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz
Unknown,Socket: 1,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,"Hardware, CPU",Clock: 3000.0000,Gbt --> bls3,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz
 , ,Memory,"Hardware, Memory",65858384 kB,Gbt --> bls3, , 
 ,Bios version: 2.0,bls3,"System, STORAGE", ,Gbt --> bls3,American Megatrends Inc., 
MD04ACA600, ,Samsung,"Hardware, Disk",5.458 TB [0x2baa0f4b0 Sectors],Gbt --> bls3,46BCK1KIFFQCTOSHIBA MD04ACA600                      FS2A, 
MD04ACA600, ,Samsung,"Hardware, Disk",5.458 TB [0x2baa0f4b0 Sectors],Gbt --> bls3,46BBK3E2FFQCTOSHIBA MD04ACA600                      FS2A, 
MD04ACA600, ,Samsung,"Hardware, Disk",5.458 TB [0x2baa0f4b0 Sectors],Gbt --> bls3,46BCK1KHFFQCTOSHIBA MD04ACA600                      FS2A, 
MD04ACA600, ,Samsung,"Hardware, Disk",5.458 TB [0x2baa0f4b0 Sectors],Gbt --> bls3,46BBK3E3FFQCTOSHIBA MD04ACA600                      FS2A, 
MD04ACA600, ,Samsung,"Hardware, Disk",5.458 TB [0x2baa0f4b0 Sectors],Gbt --> bls3,46B3K5V6FFQCTOSHIBA MD04ACA600                      FS2A, 
MD04ACA600, ,Samsung,"Hardware, Disk",5.458 TB [0x2baa0f4b0 Sectors],Gbt --> bls3,46BBK3E1FFQCTOSHIBA MD04ACA600                      FS2A, 
MD04ACA600, ,Samsung,"Hardware, Disk",5.458 TB [0x2baa0f4b0 Sectors],Gbt --> bls3,46BBK3DYFFQCTOSHIBA MD04ACA600                      FS2A, 
MD04ACA600, ,Samsung,"Hardware, Disk",5.458 TB [0x2baa0f4b0 Sectors],Gbt --> bls3,46B7K7VSFFQCTOSHIBA MD04ACA600                      FS2A, 
MD04ACA600, ,Samsung,"Hardware, Disk",5.458 TB [0x2baa0f4b0 Sectors],Gbt --> bls3,46B3K5V3FFQCTOSHIBA MD04ACA600                      FS2A, 
MD04ACA600, ,Samsung,"Hardware, Disk",5.458 TB [0x2baa0f4b0 Sectors],Gbt --> bls3,46BBK3E0FFQCTOSHIBA MD04ACA600                      FS2A, 
MD04ACA600, ,Samsung,"Hardware, Disk",5.458 TB [0x2baa0f4b0 Sectors],Gbt --> bls3,46BCK1KGFFQCTOSHIBA MD04ACA600                      FS2A, 
MD04ACA600, ,Samsung,"Hardware, Disk",5.458 TB [0x2baa0f4b0 Sectors],Gbt --> bls3,46BBK3EFFFQCTOSHIBA MD04ACA600                      FS2A, 
