Serial Number,Other,Name,Classification,Speed/Capacity,Path,Make,Model
 , , , , ,Digilab --> blc02, , 
MAC: 02:42:d5:7d:48:c0,ip: 172.17.0.1,docker0,"Hardware, NIC",NA,Digilab --> blc02, , 
MAC: ac:1f:6b:2d:01:f0,ip: 10.0.1.112,eth0,"Hardware, NIC",1000,Digilab --> blc02, , 
MAC: ac:1f:6b:2d:01:f1, ,eth1,"Hardware, NIC",NA,Digilab --> blc02, , 
MAC: ac:1f:6b:2d:01:f2, ,eth2,"Hardware, NIC",NA,Digilab --> blc02, , 
MAC: ac:1f:6b:2d:01:f3, ,eth3,"Hardware, NIC",NA,Digilab --> blc02, , 
MAC: 02:02:0a:0a:0a:07,ip: 10.10.10.7,eth4,"Hardware, NIC",40000,Digilab --> blc02, , 
MAC: 02:02:0a:0a:0a:87,ip: 10.10.10.135,eth5,"Hardware, NIC",-1,Digilab --> blc02, , 
 ,ip: 127.0.0.1,lo,"Hardware, NIC",NA,Digilab --> blc02, , 
0324517035065, ,TITAN Xp,"Hardware, GPU",Memory: 12196,Digilab --> blc02,Nvidia,TITAN Xp
0320418070022, ,TITAN V,"Hardware, GPU",Memory: 12066,Digilab --> blc02,Nvidia,TITAN V
Unknown,Socket: 0,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,"Hardware, CPU",Clock: 3000.0000,Digilab --> blc02,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz
Unknown,Socket: 1,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,"Hardware, CPU",Clock: 3000.0000,Digilab --> blc02,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz
 , ,Memory,"Hardware, Memory",396161920 kB,Digilab --> blc02, , 
 ,Bios version: 2.0b,blc02,"System, COMPUTE", ,Digilab --> blc02,American Megatrends Inc., 
HDS722020ALA330, ,Samsung,"Hardware, Disk",1.819 TB [0xe8e088b0 Sectors],Digilab --> blc02,JK11A4B8JR6XHWHitachi HDS722020ALA330                 JKAOA3MA, 
HDS722020ALA330, ,Samsung,"Hardware, Disk",1.819 TB [0xe8e088b0 Sectors],Digilab --> blc02,JK11A5B8J0RLUXHitachi HDS722020ALA330                 JKAOA3MA, 
HDS722020ALA330, ,Samsung,"Hardware, Disk",1.819 TB [0xe8e088b0 Sectors],Digilab --> blc02,JK11A4B8JR24MWHitachi HDS722020ALA330                 JKAOA3MA, 
, ,Samsung,"Hardware, Disk",1.819 TB [0xe8e088b0 Sectors],Digilab --> blc02,S2H7JD1B220323      SAMSUNG HD204UI                         1AQ10001, 
HDS722020ALA330, ,Samsung,"Hardware, Disk",1.819 TB [0xe8e088b0 Sectors],Digilab --> blc02,JK11A5B8J0RL0XHitachi HDS722020ALA330                 JKAOA3MA, 
HDS722020ALA330, ,Samsung,"Hardware, Disk",1.819 TB [0xe8e088b0 Sectors],Digilab --> blc02,JK11A4B8JHRN2WHitachi HDS722020ALA330                 JKAOA3MA, 
HDS722020ALA330, ,Samsung,"Hardware, Disk",1.819 TB [0xe8e088b0 Sectors],Digilab --> blc02,JK11A4B8JR2AYWHitachi HDS722020ALA330                 JKAOA3MA, 
HDS722020ALA330, ,Samsung,"Hardware, Disk",1.819 TB [0xe8e088b0 Sectors],Digilab --> blc02,JK11A4B8JR4R7WHitachi HDS722020ALA330                 JKAOA3MA, 
HDS722020ALA330, ,Samsung,"Hardware, Disk",1.819 TB [0xe8e088b0 Sectors],Digilab --> blc02,JK11A5B8J36AMXHitachi HDS722020ALA330                 JKAOA3MA, 
HDS722020ALA330, ,Samsung,"Hardware, Disk",1.819 TB [0xe8e088b0 Sectors],Digilab --> blc02,JK11A5B8J37BSXHitachi HDS722020ALA330                 JKAOA3MA, 
, ,Samsung,"Hardware, Disk",1.819 TB [0xe8e088b0 Sectors],Digilab --> blc02,S2H7JD1B113002      SAMSUNG HD204UI                         1AQ10001, 
